姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,履历
徐安祥,男,汉族,江苏常州,1956年4月,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军南部战区副司令员兼战区空军司令员","—2007,曾任南京军区空军航空兵14师师长,南京军区空军副参谋长、参谋长等职。
2007—2011,晋升空军少将军衔。
2011.7—2012,任空军司令部副参谋长。
2012.12,任广州军区空军司令员。
2014—,晋升空军中将军衔。
2016—2016.7,任中国人民解放军南部战区空军司令员。 
2016.7—,任中国人民解放军南部战区副司令员兼战区空军司令员。
中国共产党第十九届中央委员会委员,党的十九大代表"
高津,男,汉族,江苏靖江,1959年4月,二炮指挥学院,,"中国共产党第十九届中央委员会委员,中国人民解放军战略支援部队司令员","1978—,入伍。
1985—1997,考入二炮指挥学院,毕业后,担任文书、技师、作战训练参谋、发射营营长、某旅副参谋长、参谋 长、副旅长。
1997—2001,任中国人民解放军第二炮兵第52基地某导弹旅旅长。
2001—2004,任中国人民解放军第二炮兵第52基地副参谋长。
2004—2007,任中国人民解放军第二炮兵第52基地参谋长。
2007—2009,任中国人民解放军第二炮兵第52基地副司令员。
2009.03—2011,任中国人民解放军第二炮兵第52基地司令员。
2011—2014,中国人民解放军第二炮兵参谋长。
2014.07—,任中国人民解放军总参谋长助理。
2014.12—,任中国人民解放军军事科学院院长。（2015.兼任中国军事科学学会会长）
2015.12—,任中国人民解放军战略支援部队司令员。
2012.11—,当选为中共第十八届中央候补委员。
中国共产党第十九届中央委员会委员,党的十九大代表"
郭声琨,男,汉族,江西兴国,1954年10月,北京科技大学,管理学博士,"中央政治局委员、中央书记处书记,国务委员、国务院党组成员,中央政法委员会书记,武装警察部队第一政委、党委第一书记,总警监","1973—1977,江西省兴国县五里亭公社知青
1977—1979,江西冶金学院矿业系选矿专业学习
1979—1985,冶金部画眉坳钨矿机选车间技术员、工段长、党支部书记,生产副主任、行政副主任、主任
1985—1990,中国有色金属工业总公司画眉坳钨矿矿长
1990—1992,中国有色金属工业总公司画眉坳钨矿矿长兼贵溪银矿建设指挥部总指挥、党委书记
1992—1993,中国有色金属工业总公司贵溪银矿矿长、党委书记
1993—1997,中国有色金属工业总公司南昌公司经理、党组书记（其间：1994—1996.,中南工业大学管理工程系管理工程专业学习,获管理学硕士学位；1995—1996.,中央党校一.制中青.干部培训班学习）
1997—1998,中国有色金属工业总公司副总经理、党组成员
1998—1999,国家有色金属工业局党组成员
1999—2000,国家有色金属工业局副局长、党组成员
2000—2001,国务院国有重点大型企业监事会主席,中国铝业公司筹备组组长
2001—2004,中国铝业公司总经理、党组书记兼中铝股份有限公司董事长、总裁（其间：2002.03—2002.05,中央党校省部级干部进修班学习）
2004—2007,广西壮族自治区党委副书记,区政府副主席、党组副书记
（2003—2007,北京科技大学管理科学与工程专业学习,获管理学博士学位）
2007—2008,广西壮族自治区党委书记
2008—2012,广西壮族自治区党委书记,区人大常委会主任
2012—2013,公安部部长、党委书记
2013—2017,国务委员、国务院党组成员兼公安部部长、党委书记,中央政法委员会副书记,武装警察部队第一政委、党委第一书记
2017—,　中央政治局委员、中央书记处书记,国务委员、国务院党组成员,中央政法委员会书记,武装警察部队第一政委、党委第一书记"
郭树清,男,汉族,内蒙古察右后旗,1956年8月,中国社会科学院研究生院,法学博士,"中国共产党第十九届中央委员会委员,中国银行业监督管理委员会主席、党委书记,央行货币政策委员会委员","1974.08—1978.03,内蒙古自治区四子王旗红格尔公社插队；
1978.03—1982.02,南开大学哲学系哲学专业学习；
1982.02—1985.02,中国社会科学院研究生院马列系科学社会主义专业硕士研究生；
1985.02—1988.07,中国社会科学院马列所助理研究员（其间：1985.02—1988.07,中国社会科学院研究生院马列系科学社会主义专业在职研究生学习,获法学博士学位；1986.03—1986.06,借调国务院经济体制改革方案设计办公室工作；1986.07—1987.08,赴英国牛津大学作访问研究）；
1988.09—1993.04,国家计委经研中心综合组副组长（副司级）；
1993.04—1995.09,国家经济体制改革委员会综合规划和试点司司长；
1995.09—1996.02,国家经济体制改革委员会宏观调控体制司司长；
1996.02—1998.03,国家经济体制改革委员会党组成员,秘书长兼机关党委副书记；
1998.03—1998.07,国务院经济体制改革办公室党组成员兼机关党委副书记；
1998.07—2001.03,贵州省副省长；
2001.03—2005.03,中国人民银行副行长、党委委员,国家外汇管理局局长、党组书记（其间：2004.03—2004.04,在中央党校省部级干部进修班A班学习）；
2005.03—2009.03,中国建设银行董事长、党委书记,中国信达资产管理公司党委书记,中国建银投资有限责任公司党委书记；
2009.01—2010.07,中国建设银行董事长、党委书记,中国信达资产管理公司党委书记；
2010.07—2011.10,中国建设银行董事长、党委书记；
2011.10—2013.03,中国证券监督管理委员会主席、党委书记；
2013.03—2013.06,山东省委副书记,副省长、代理省长,省政府党组书记；
2013.06—2017,山东省委副书记,省长,省政府党组书记；
2017.02—,中国银行业监督管理委员会主席、党委书记。
2017.03—,央行货币政策委员会委员。
中国共产党第十七届中央委员会候补委员,中国共产党第十八届、十九届中央委员会委员,第十届全国政协委员。党的十九大代表。"
唐仁健,男,汉族,重庆,1962年8月,西南财经大学,经济学博士,"中国共产党第十九届中央委员会委员,甘肃省委副书记,省长、省政府党组书记","1979.09—1983.08,四川财经学院政治经济学系政治经济学专业学习
1983.08—1987.03,农牧渔业部政策法规司科员（其间：1984.03—1985.01,北京市平谷县大华山乡锻炼）
1987.03—1989.05,农牧渔业部政策法规司副主任科员、主任科员
1989.05—1990.11,农业部政策法规司产业政策处副处长
1990.11—1993.11,农业部政策体改法规司经济调节处副处长、处长
1993.11—1994.11,农业部办公厅部长办公室副主任（正处级）
1994.11—1998.07,农业部政策体改法规司副司长
1998.07—1998.09,农业部产业政策与法规司副司长
1998.09—2000.09,中央财经领导小组办公室农村组助理巡视员
2000.09—2005.02,中央财经领导小组办公室农村组巡视员（1998.09—2003.12,西南财经大学经济学院产业经济学专业在职研究生学习,获经济学博士学位）
2005.02—2006.03,中央财经领导小组办公室农村组组长
2006.03—2006.06,中央财经领导小组办公室副主任
2006.06—2014.04,中央财经领导小组办公室副主任、中央农村工作领导小组办公室副主任、国务院扶贫开发领导小组副组长（2013.06）
2014.04—2014.05,广西壮族自治区党委常委
2014.05—2015.04,广西壮族自治区党委常委、区政府副主席
2015.04—2016.06,广西壮族自治区党委常委、区政府副主席、党组副书记
2016.06—2017.03,中央农村工作领导小组副组长（正部长级）兼办公室主任,中央财经领导小组办公室副主任
2017.03—2017.04,甘肃省委副书记
2017.04—2017.05,甘肃省委副书记,副省长、代省长、省政府党组书记
2017.05—,甘肃省委副书记,省长、省政府党组书记
中国共产党第十九届中央委员会委员,党的十九大代表,第十二届甘肃省委委员、常委、副书记。第十二届甘肃省人大代表。"
黄明,男,汉族,江苏兴化,1957年10月,江苏公安专科学校、南京师范大学,在职研究生,"中国共产党第十九届中央委员会委员,中华人民共和国公安部党委副书记、副部长（正部长级）、中央政法委委员","1975.8—1978.12,在江苏省兴化市刘陆乡插队,历任村团支部书记、乡团委副书记；
1978.12—1982.2,在江苏公安专科学校学习；
1982.2—1990,到江苏省公安厅工作,历任科员、副科长、科长,此间挂职任睢宁县公安局副局长；
1990—2000.12,历任江苏省公安厅政治部宣传处副处长、处长兼《警方》杂志主编、厅政治部副主任、厅长助理、厅党委委员兼交巡警总队总队长等职（其间：1995.6南京师范大学函授本科毕业）；
2000.12—2003.4,任江苏省公安厅副厅长兼武警江苏省边防总队第一政委、第一书记；
2003.4—2006.12,任江苏省公安厅厅长、党委书记兼武警江苏省总队第一政委、第一书记；
2006.12—2008.11,任江苏省省长助理,省公安厅长、党委书记兼武警江苏省总队第一政委、第一书记；
2008.11—2009.8,调任公安部部长助理、党委委员兼办公厅主任,一级警监警衔；
2009.8—2012,任公安部副部长、党委委员；
2012—2016,晋升副总警监警衔；
2016.5—,任公安部党委副书记、副部长（正部长级）。
2016.8—,黄明同时担任中央政法委委员。 
中国共产党第十九届中央委员会委员,党的十九大代表"
黄守宏,男,汉族,河南范县,1964年6月,"北京农业大学, 中国农业科学",管理学博士,"中国共产党第十九届中央委员会委员,国务院研究室党组书记、主任","—1993,曾先后在北京农业大学经管系及研究生院、中国农业科学院研究生院学习。
1993—2008,历任国务院研究室农村司处长、副司长、巡视员、司长。
2008.04—2009.10,任国务院研究室党组成员兼机关党委书记。
2009.10—2015.12,任国务院研究室党组成员、副主任、机关党委书记 （2013.6任国务院农民工工作领导小组副组长。）,
2015.12—2016.6,任国务院研究室党组副书记、副主任、机关党委书记。
2016.6—,任国务院研究室党组书记、主任。
中国共产党第十九届中央委员会委员,党的十九大代表"
黄坤明,男,汉族,福建上杭,1956年11月,清华大学,管理学博士,"中央政治局委员、中央书记处书记,中央宣传部部长,中央精神文明建设指导委员会办公室主任","1974—1977,陆军三二八六六部队八十四分队战士、副班长
1977—1978,福建省上杭县通贤公社通贤大队文书、党支部委员
1978—1982,福建师范大学政教系学习
1982—1985,福建省龙岩地委组织部干部
1985—1988,福建省龙岩地委组织部青干科副科长（其间：1985—1988.,中央党校培训部研究生班学习）
1988—1990,福建省龙岩地区行署办公室副主任
1990—1991,福建省龙岩地区行署办公室主任
1991—1992,福建省龙岩地区行署副秘书长、办公室主任
1992—1993,福建省龙岩地区行署专员助理、副秘书长、办公室主任
1993—1995,福建省龙岩地区行署专员助理、永定县委书记
1995—1997,福建省龙岩地委委员、永定县委书记
1997—1998,福建省龙岩市委常委、永定县委书记
1998—1999,福建省龙岩市委副书记、市长
1999—2000,浙江省湖州市委副书记、代市长
2000—2003,浙江省湖州市委副书记、市长
2003—2007,浙江省嘉兴市委书记、市人大常委会主任
2007—2010,浙江省委常委、宣传部部长（2005—2008.,清华大学公共管理学院公共管理专业学习,获管理学博士学位）
2010—2012,浙江省委常委、杭州市委书记
2012—2013,浙江省委常委,杭州市委书记、市人大常委会主任
2013—2014,中央宣传部副部长
2014—2017,中央宣传部主持常务工作的副部长（正部长级）,中央精神文明建设指导委员会办公室主任
2017—,　中央政治局委员、中央书记处书记,中央宣传部部长,中央精神文明建设指导委员会办公室主任"
黄树贤,男,汉族,江苏扬中,1954年9月,南京大学,文哲史,"中国共产党第十九届中央委员会委员,民政部部长、党组书记","1975.09—1977.10,南京大学文科班文哲史专业学习
1977.10—1978.05,江苏省扬中县长旺公社文化站代理站长
1978.05—1982.01,江苏省扬中县委办公室秘书、副主任
1982.01—1983.09,江苏省扬中县新坝公社（乡）党委副书记、书记
1983.09—1985.01,江苏省扬中县委副书记、代县长、县委书记
1985.01—1989.11,共青团江苏省委书记
1989.11—1994.11,江苏省农垦农工商联合总公司党委副书记兼纪委书记
1994.11—1995.03,江苏省纪委常委
1995.03—1997.05,江苏省纪委常委、省监察厅副厅长（1992.10—1995.10,南京大学商学院政治经济学专业研究生课程进修班在职学习）
1997.05—2000.12,江苏省纪委副书记、省监察厅厅长
2000.12—2002.11,监察部副部长
2002.11—2007.10,中央纪委常委,监察部副部长（其间：2006.03—2006.07,中央党校省部级干部进修班学习）
2007.10—2007.12,中央纪委副书记（2007.11明确为正部长级）,监察部副部长
2007.12—2013.03,中央纪委副书记（2003.11—2008.12兼任北京奥运监督委员会主任）（其间：2010.05—2010.07,中央党校省部级干部进修班学习）
2013.03—2016.11,监察部部长,国家预防腐败局局长
2016.10—2016.11,民政部党组书记
2016.11—,民政部部长、党组书记
中国共产党第十八届、十九届中央委员会委员,第十六届中央纪委委员、常委,十七届、十八届中央纪委委员、常委、副书记。党的十九大代表。"
曹建明,男,汉族,江苏南通,1955年9月,华东政法学院,法学硕士,"中国共产党第十九届中央委员会委员,最高人民检察院检察长、党组书记、检察委员会委员,首席大检察官","1972—1975, 上海市静安区饮食公司前进饮食店职工,向阳中心店党支部副书记、公司团委副书记
1975—1979, 上海市卫生局后方卫生处政工组负责人
1979—1983, 华东政法学院法律专业学习
1983—1986, 华东政法学院国际法系国际法专业硕士研究生
1986—1986, 华东政法学院国际法系教师、系负责人
1986—1995, 华东政法学院国际法系副主任、主任、讲师、副教授、教授（其间：1988—1989.比利时国立根特大学法学院访问学者；1990.07—1990.12美国旧金山大学讲学）
1995—1997, 华东政法学院党委副书记、常务副院长
1997—1999, 华东政法学院院长、党委副书记（1998.10主持党委工作）
1999—2002, 最高人民法院副院长、党组成员、审判委员会委员,国家法官学院院长、党委书记,二级大法官（其间：2001.03—2001.05中央党校省部级干部进修班学习）
2002—2003, 最高人民法院副院长、党组副书记（正部长级）、审判委员会委员,国家法官学院院长、党委书记,一级大法官
2003—2008, 最高人民法院副院长、党组副书记（正部长级）、审判委员会委员,一级大法官
2008—, 最高人民检察院检察长、党组书记、检察委员会委员,首席大检察官
中国共产党第十六届中央委员会候补委员,中国共产党第十七届、十八届、十九届中央委员会委员,党的十九大代表。"
龚正,男,汉族,江苏苏州,1960年3月,厦门大学,经济学博士,"中国共产党第十九届中央委员会委员,山东省委副书记,省长、省政府党组书记,山东省副总河长","1978.10—1982.08,北京对外贸易学院对外贸易管理系海关管理专业学生；
1982.08—1986.03,海关总署货运监管司货运监管处干部；
1986.03—1986.08,海关总署货运监管司货运监管处副处长；
1986.08—1989.05,海关总署办公室秘书处副处级秘书（其间：1987.01—1987.12,美国金门大学洛杉矶税收管理学院税收管理专业进修）；
1989.05—1993.01,海关总署署长办公室正处级秘书；
1993.01—1996.01,天津海关副关长、党组成员（1995.08明确为副厅局级）；
1996.01—1997.04,全国海关信息管理中心筹备办公室副主任；
1997.04—1998.09,海关总署业务规范司副司长兼信息化工作领导小组办公室副主任（其间：1994.06—1997.07,对外经济贸易大学工商管理学院工商管理专业学习,获工商管理硕士学位）；
1998.09—2001.02,海关总署政策法规司司长（其间：2000.03—2001.01,中央党校一.制中青.干部培训班学习）；
2001.02—2003.03,深圳海关关长、党组书记；
2003.03—2008.11,海关总署副署长、党组成员（2003.09授予海关副总监；其间：2001.09—2004.12,厦门大学财政金融系财政学专业在职研究生学习,获经济学博士学位；2004.09—2004.11,中央党校第36期省部级干部进修一班学习）；
2008.11—2008.12,浙江省政府党组成员；
2008.12—2012.06,浙江省副省长、省政府党组成员；
2012.06—2013.09,浙江省委常委,副省长、省政府党组副书记；
2013.09—2013.12,浙江省委常委,副省长、省政府党组副书记,杭州市委书记；
2013.12—2015.07,浙江省委常委、杭州市委书记；
2015.07—2015.08,山东省委副书记；
2015.08—2017.04,山东省委副书记兼省委党校校长；
2017.04—,山东省委副书记,副省长、代理省长、省长,省政府党组书记。
中国共产党第十九届中央委员会委员,中共十七大代表,十届、十一届山东省委委员。山东省副总河长。"
盛斌,男,汉族,辽宁营口,1958年12月,国防大学,军事学硕士,"中国共产党第十九届中央委员会委员,军委国防动员部部长兼任国家国防动员委员会秘书长","—2014.12,曾任第40集团军参谋长、副军长,第39集团军副军长,黑龙江省军区司令员等职；
2014.12—2016.08,任沈阳军区副司令员；
2016.08—2016.12,任军委国防动员部部长。
2016.12—,军委国防动员部部长兼任国家国防动员委员会秘书长。
中国共产党第十九届中央委员会委员,第十二届全国人大代表,党的十九大代表。"
雪克来提·扎克尔,男,维吾尔族,新疆伊宁,1953年8月,中央党校,工商管理硕士,"中国共产党第十九届中央委员会委员,新疆维吾尔自治区党委副书记、区政府主席、党组书记,新疆总河长","1970.12—1972.02,新疆维吾尔自治区玛纳斯县、乌鲁木齐县知青；
1972.02—1974.02,新疆维吾尔自治区乌鲁木齐市第三十二小学代课教师；
1974.02—1978.03,新疆维吾尔自治区乌鲁木齐县地窝堡学校教师；
1978.03—1980.06,湖北江汉石油学院计算机专业学习；
1980.06—1984.06,新疆石油地球物理研究所技术员；
1984.06—1988.05,新疆维吾尔自治区经委工业处副主任科员、主任科员（1982.09—1986.07,乌鲁木齐职业大学英语专业学习）；
1988.05—1992.11,新疆维吾尔自治区经委工业调度处副处长；
1992.11—1993.08,新疆维吾尔自治区经委工业调度处处长；
1993.08—1997.02,新疆维吾尔自治区经委外经处处长（其间：1994.03—1994.05,新疆维吾尔自治区党委党校县处级干部进修班学习）；
1997.02—1997.07,新疆维吾尔自治区经贸委副秘书长兼外经处处长；
1997.07—2000.07,新疆维吾尔自治区经贸委党组成员、副主任（1996.08—1998.12,中央党校领导干部函授班经济管理专业在职大学学习；1996.12—1998.12,中国社会科学院工业经济系企业管理专业学习）；
2000.07—2000.12,新疆维吾尔自治区经贸委（国防工办）党组成员、副主任；
2000.12—2001.03,新疆维吾尔自治区乌鲁木齐市委副书记、代市长；
2001.03—2005.12,新疆维吾尔自治区乌鲁木齐市委副书记、市长（其间：2004.03—2005.01,中央党校中青.干部培训班学习）；
2005.12—2006.01,新疆生产建设兵团党委常委；
2006.01—2009.07,新疆生产建设兵团党委常委、副政委（2003.09—2007.03,天津大学管理学院工商管理专业在职学习,获高级管理人员工商管理硕士学位）；
2009.07—2011.06,新疆生产建设兵团党委常委、副政委,中华全国归侨联合会副主席（兼职）；
2011.06—2013.12,全国人大民族委员会副主任委员（副部长级）,中华全国归侨联合会副主席（兼职）；
2013.12—2014.01,新疆维吾尔自治区人大常委会党组书记、主任候选人；
2014.01—2014.12,新疆维吾尔自治区人大常委会主任、党组书记；
2014.12—2015.01,新疆维吾尔自治区党委副书记、区政府代主席、党组书记；
2015.01—,新疆维吾尔自治区党委副书记、区政府主席、党组书记。
中国共产党第十九届中央委员会委员,第十届、十一届、十二届全国人大代表。新疆总河长。"
鄂竟平,男,汉族,河北唐山,1956年1月,华北水利水电大学,水工专业,"中国共产党第十九届中央委员会委员,国务院南水北调工程建设委员会办公室主任、党组书记,水利部副部长、党组副书记、国家防汛抗旱总指挥部副总指挥","1973.02—1975.09,吉林省梨树县白山公社插队；
1975.09—1977.08,吉林省水电学校学生；
1977.08—1979.09,吉林省水利设计院干部；
1979.09—1983.08,华北水利水电学院（现华北水利水电大学）水工专业学生；
1983.08—1993.06,水电部、水利部办公厅部长秘书,水利部计划司干部、计划司计划处副处长、计划司计划处处长、计划司副司长；
1993.06—1994.06,海河水利委员会副主任、党组副书记；
1994.06—1997.05,海河水利委员会主任、党组书记；
1997.05—2001.05,黄河水利委员会主任、党组书记；
2001.05—2003.08,水利部党组成员、国家防汛抗旱总指挥部秘书长兼办公室主任；
2003.08—2008.07,水利部副部长、党组成员、国家防汛抗旱总指挥部秘书长兼办公室主任；
2008.07—2009.04,水利部副部长、党组副书记、国家防汛抗旱总指挥部秘书长兼办公室主任；
2009.04—2010.07,水利部副部长、党组副书记、国家防汛抗旱总指挥部副总指挥；
2010.07—,国务院南水北调工程建设委员会办公室主任、党组书记,水利部副部长、党组副书记、国家防汛抗旱总指挥部副总指挥。
中国共产党第十八届中央委员会候补委员,中国共产党第十九届中央委员会委员 ,党的十九大代表"
鹿心社,男,汉族,山东巨野,1956年11月,中央党校,工学学士,"中国共产党第十九届中央委员会委员,江西省委书记,省人大常委会主任、党组书记,江西省总河长","1978.09—1982.08,武汉水利电力学院农田水利工程系农田水利工程专业学习；
1982.08—1986.08,农牧渔业部土地管理局干部（其间：1985.11—1986.08,在农牧渔业部西北农业大学德语培训中心学习）；
1986.08—1990.05,国家土地管理局地籍管理司综合登记处主任科员、副处长（其间：1987.04—1988.04,在联邦德国黑森洲测量局、汉诺威地籍局进修,1989.02—1989.07,在中央党校中央国家机关分部学习）；
1990.05—1992.09,国家土地管理局地籍管理司副司长；
1992.09—1996.06,国家土地管理局地籍管理司司长；
1996.06—1998.03,国家土地管理局副局长、党组成员（1995.06—1996.08,挂职任江苏省南通市副市长）；
1998.03—1998.07,国土资源部党组成员；
1998.07—1999.05,国土资源部党组成员、耕地保护司司长；
1999.05—2005.11,国土资源部副部长、党组成员（其间：2000.09—2000.11,在中央党校省部级干部进修班学习）；
2005.11—2008.10,国土资源部副部长、党组成员,国家测绘局局长、党组书记（其间：2007.03—2007.04,在中央党校省部级干部进修班学习）；
2008.10—2009.04,国土资源部副部长、党组成员；
2009.04—2010.08,国土资源部副部长、党组副书记,国家土地副总督察；
2010.08—2011.05,甘肃省委副书记、省委党校校长；
2011.05—2011.06,江西省委副书记；
2011.06—2012.02,江西省委副书记,省人民政府副省长、代省长、党组书记；
2012.02—2016.06,江西省委副书记,省人民政府省长、党组书记（其间：2014.05—2014.07,在中央党校省部级干部进修班学习）；
2016.06—2016.07,江西省委书记、省人民政府省长；
2016.07—2017.01,江西省委书记、省人大常委会党组书记；
2017.01—,江西省委书记,省人大常委会主任、党组书记。
中国共产党第十七届中央委员会候补委员,中国共产党第十八届、十九届中央委员会委员,党的十九大代表。江西省总河长。"
谌贻琴,女,白族,贵州织金,1959年12月,中央党校,经济学,"中国共产党第十九届中央委员会委员,贵州省委副书记、副省长、代省长、省政府党组书记,省委党校校长","1977.03—1978.04,在贵州省织金县供销知青队当知青、任团支部书记；
1978.04—1982.01,贵州大学历史系历史专业学习；
1982.01—1993.03,先后任贵州省委党校党史党建教研室助教、讲师,党史教研室副主任（其间：1990.03—1992.03,挂职任贵州省织金县委副书记）；
1993.03—1995.08,先后任贵州省委党校人事处处长,省委党校党委委员、人事处处长；
1995.08—1998.08,先后任贵州省委党校副校长、党委委员,贵州省委党校（贵州行政学院）副校长（副院长）、党委委员（其间：1995.09—1996.01,贵州省委党校中青班学习）；
1998.08—1999.02,任贵州省委党校（贵州行政学院）副校长（副院长）、党委副书记；
1999.02—2001.12,任贵州省社科联党组书记、副主席（1998.09—1999.07,中央党校培训部一.制中青班学习；1998.09—2001.07,中央党校在职研究生班经济学专业学习）；
2001.12—2003.01,任贵州省黔南州委副书记（保留正厅级）；
2003.01—2007.04,任贵州省铜仁地委副书记、行署专员；
2007.04—2007.05,任贵州省委常委,铜仁地委副书记、行署专员；
2007.05—2007.06,任贵州省委常委、宣传部部长,铜仁地委副书记、行署专员；
2007.06—2007.08,任贵州省委常委、宣传部部长；
2007.08—2012.05,任贵州省委常委、宣传部部长,省社科联主席（兼）（其间：2009.09—2009.11,中央党校省部级干部培训班学习）；
2012.05—2012.06,任贵州省委常委、副省长（分管政府常务工作）,省社科联主席（兼）；
2012.06—2012.07,任贵州省委常委、副省长（分管政府常务工作）、省政府党组副书记,省社科联主席（兼）；
2012.07—2014.05,任贵州省委常委、副省长（分管政府常务工作）、省政府党组副书记；
2014.05—2015.04,任贵州省委常委、副省长（分管政府常务工作）、省政府党组副书记,省委金融工作委员会书记（兼）；
2015.04—2015.05,任贵州省委副书记、政法委书记,副省长,省维稳办主任（兼）；
2015.05—2015.10,任贵州省委副书记、政法委书记,省维稳办主任（兼）；
2015.10—2015.12,任贵州省委副书记、政法委书记；
2015.12—2017.04,任贵州省委副书记、政法委书记,省法学会会长（兼）；
2017.04—2017.09,任贵州省委副书记、政法委书记,省委党校校长（兼）,省法学会会长（兼）；
2017.09—,任贵州省委副书记、副省长、代省长、省政府党组书记,省委党校校长（兼）。
谌贻琴同志是中国共产党第十七届、十八届中央委员会候补委员,中国共产党第十九届中央委员会委员,贵州省九次党代会当选为省委候补委员,省委九届九次全会递补为省委委员,十届、十一届、十二届贵州省委委员。"
彭清华,男,汉族,湖北大冶,1957年4月,中山大学,管理学博士,"中国共产党第十九届中央委员会委员,广西壮族自治区党委书记,自治区人大常委会主任,广西军区党委第一书记,广西总河长","1974.08—1975.11,湖北省大冶县太婆尖茶场知青组长
1975.11—1979.08,湖北省大冶县委知青办干事、公社党办秘书、县委办公室秘书
1979.08—1983.07,北京大学哲学系哲学专业学习
1983.07—1988.08,中组部党政外事干部局干事,地方干部局干事、副处长（1988.07）
1988.08—1992.11,中组部秘书
1992.11—1997.03,中组部党建研究所负责人、副所长（其间：1993.09—1996.03,湖南大学工业外贸专业在职研究生学习,获工学硕士学位）
1997.03—1999.05,中组部党建研究所副所长、所长,《党建研究》杂志社总编辑
1999.05—2001.01,中组部研究室主任兼政策法规局局长（2000.06）
2001.01—2001.02,中组部干部一局局长
2001.02—2003.12,中组部部务委员（副部长级）兼干部一局局长（1996.03—2001.06,中山大学企业管理专业在职研究生学习,获管理学博士学位）
2003.12—2007.07,中央政府驻港联络办副主任
2007.07—2009.05,中央政府驻港联络办副主任（正部长级）
2009.05—2012.12,中央政府驻港联络办主任
2012.12—2013.01,广西壮族自治区党委书记
2013.01—2013.05,广西壮族自治区党委书记,自治区人大常委会主任、党组书记
2013.05—2016.01,广西壮族自治区党委书记,自治区人大常委会主任、党组书记,广西军区党委第一书记 
2016.01—,广西壮族自治区党委书记,自治区人大常委会主任,广西军区党委第一书记
中国共产党第十七届、十八届、十九届中央委员会委员
第十一届全国人大代表
党的十九大代表
广西壮族自治区第十二届人大代表
广西总河长"
蒋超良,男,汉族,湖南汨罗,1957年8月,西南财经大学,经济学硕士,"中国共产党第十九届中央委员会委员,湖北省委书记、省人大常委会主任,省军区党委第一书记,湖北省第一总河湖长?","1974.12—1978.08,湖南省岳阳地区工艺美术厂工人
1978.08—1981.08,湖南财经学院财政系财政专业学习
1981.08—1995.02,中国农业银行计划部科员、副主任科员、副处长、处长、主任助理、副主任、主任
1995.02—1996.04,中国农业银行国际业务部总经理
1996.04—1997.03,中国人民银行银行司副司长（1993.09—1996.07,西南财经大学金融系货币银行学专业在职研究生学习,获经济学硕士学位）
1997.03—1998.11,中国人民银行深圳特区分行行长、党组书记（正司长级）
1998.11—2000.06,中国人民银行广州分行行长、党委书记
2000.06—2002.09,中国人民银行行长助理、党委委员兼办公厅主任、党委办公室主任、工会工作委员会主任（其间：2002.03—2002.05,参加中央党校省部级干部进修班学习）
2002.09—2004.05,湖北省政府副省长、党组成员
2004.05—2008.09,交通银行董事长、党委书记（其间：2008.05—2008.07,参加中央党校省部级干部进修班学习）
2008.09—2011.11,国家开发银行副董事长、行长、党委副书记
2011.11—2014.08,中国农业银行董事长、党委书记（其间：2013.10—2013.12,参加国防大学战略研讨班学习）
2014.08—2014.09,吉林省委副书记,省政府省长候选人
2014.09—2014.10,吉林省委副书记,省政府副省长、代理省长、党组书记
2014.10—2016.10,吉林省委副书记,省政府省长、党组书记
2016.10—2016.11,湖北省委书记
2016.11—2017.01,湖北省委书记,省军区党委第一书记
2017.01—,湖北省委书记、省人大常委会主任,省军区党委第一书记
中国共产党第十八届中央委员会候补委员,中国共产党第十九届中央委员会委员,曾任中国人民银行货币政策委员会委员、中国银行业协会会长、中国支付清算协会会长,党的十九大代表"
韩正,男,汉族,浙江慈溪,1954年4月,华东师范大学,经济学硕士,中央政治局常委,"1975—1980,上海徐汇起重安装队仓库管理员、供销股办事员、团总支副书记
1980—1982,上海市化工装备工业公司干事、团委负责人
1982—1986,上海市化工局团委书记（其间：1983—1985.,复旦大学大专班学习）
1986—1987,上海市化工专科学校党委副书记
1987—1988,上海胶鞋厂党委书记、副厂长（1985—1987,华东师范大学夜大学政教系政教专业学习）
1988—1990,上海大中华橡胶厂党委书记、副厂长
1990—1991,共青团上海市委副书记（主持工作）
1991—1992,共青团上海市委书记
1992—1993,上海市卢湾区委副书记、代区长
1993—1995,上海市卢湾区委副书记、区长（1991—1994.,华东师范大学国际问题研究所国际关系与世界经济专业在职研究生学习,获经济学硕士学位）
1995—1997,上海市政府副秘书长,市综合经济工作党委副书记,市计委主任、党组书记,市证券管理办公室主任
1997—1998,上海市委常委、市政府副秘书长
1998—2002,上海市委常委、副市长
2002—2003,上海市委副书记、副市长
2003—2004,上海市委副书记、市长
2004—2006,上海市委副书记、市长,2010.上海世界博览会组织委员会副主任委员、执行委员会执行主任
2006—2007,上海市委代理书记、市长,2010.上海世界博览会组织委员会副主任委员、第一副主任委员、执行委员会执行主任、执行委员会主任
2007—2008,上海市委副书记、市长,2010.上海世界博览会组织委员会第一副主任委员、执行委员会主任
2008—2011,上海市委副书记、市长,2010.上海世界博览会组织委员会副主任委员、执行委员会执行主任
2011—2012,上海市委副书记、市长
2012—2017,中央政治局委员,上海市委书记
2017—,中央政治局常委"
